types,programs
High School,"['2-D Art and Design', '3-D Art and Design', 'Art History', 'Biology', 'Calculus AB', 'Calculus BC', 'Chemistry', 'Chinese Language and Culture', 'Comparative Government and Politics', 'Computer Science A', 'Computer Science AB', 'Computer Science Principles', 'Drawing', 'English Language and Composition', 'English Literature and Composition', 'Environmental Science', 'European History', 'French Language and Culture', 'French Literature', 'German Language and Culture', 'Human Geography', 'Latin', 'Latin Literature', 'Macroeconomics', 'Microeconomics', 'Music Theory', 'Physics 1', 'Physics 2', 'Physics B', 'Physics C: Electricity and Magnetism', 'Physics C: Mechanics', 'Pre-AP English 2', 'Pre-AP World History and Geography', 'Precalculus', 'Psychology', 'Research', 'Seminar', 'Spanish Language and Culture', 'Spanish Literature and Culture', 'Statistics', 'U.S. Government and Politics', 'United States History', 'World History: Modern']"
CTE,"['AMT', 'Academics', 'Academy of Business', 'Accounting I', 'Accounting II', 'Advanced Communications', 'Advanced Technologies', 'AgriScience', 'Agriculture', 'Allied Health', 'Applied Academics', 'Aquaculture', 'Athletic Training and Sports Medicine', 'Auto Body', 'Auto Body Technology', 'Auto Collision & Repair', 'Auto Collision Program', 'Auto Collision Repair', 'Auto Collision/Composites', 'Autobody & Collision Repair', 'Automotive Collision', 'Automotive Collision Repair', 'Automotive Collision Technology', 'Automotive Technologies', 'Automotive Technology', 'Automotive Technology I & II', 'Automotive Technology I and II', 'Automotive Technology Program', 'Automotive Techonology', 'Baking & Pastry', 'Bank Teller Training', 'Biomedical & Health Science', 'Biomedical Research Support', 'Biotechnology', 'Blueprint Reading/Drawing', 'Bridge Academy Program', 'Building Construction', 'Building Construction Technology', 'Building Trades', 'Business Academy', 'Business Communications', 'Business Construction', 'Business Education', 'Business Entrepreneurship', 'Business Law - Legal Studies', 'Business Leadership & Insurance', 'Business Management', 'Business Math', 'Business Program', 'Business Studies', 'Business Technology', 'CNA', 'CTE Exploratory', 'Career Exploration', 'Career Exploratory', 'Careers in Education', 'Carpentry', 'Carpentry/Building Construction', 'Certified Nursing', 'Certified Nursing Assistant', 'Commercial & Advertising Art', 'Commercial Arts', ""Commercial Driver's LIcense"", 'Commercial Drivers License', 'Commercial Truck Driving', 'Composites Manufacturing', 'Computer & Information Systems Security', 'Computer Careers', 'Computer Science', 'Computer Science & Multimedia', 'Computer Systems & Networking', 'Computer Technology', 'Computer-Aided Drafting & Design', 'Comupter Techonologies I & II', 'Construction Operations', 'Construction Technology', 'Construction Technology I & II', 'Construction Trades', 'Cooperative Education', 'Cosmetology', 'Creative Digital Media', 'Criminal Investigation', 'Criminal Justice', 'Criminal Justive', 'Criminalistics', 'Culinary Art', 'Culinary Art I & II', 'Culinary Arts', 'Culinary Arts & Hospitality', 'Culinary Arts Program', 'Culinary I and II', 'Cyber Security', 'Cybersecurity', 'Dance', 'Design/Technology', 'Diesel Mechanics', 'Diesel Technology', 'Diesel Technology I and II', 'Digital Arts & Software', 'Digital Communication & Graphic Design', 'Digital Design', 'Digital Graphics', 'Digital Media', 'Diversified Occupations', 'Drone/Aviation', 'EMT', 'EMT/Firefight 1 & 2', 'Early Childhood Development', 'Early Childhood Ed', 'Early Childhood Education', 'Early Childhood Education Program', 'Early Childhood Occupations', 'Early Childhood Occupations Education', 'Early Childhood Occupations I & II', 'Early Chilhood Education', 'Early Education & Teaching', 'Education/Development of Children Program', 'Educator Prep Program', 'Electric Vehicle Technology', 'Electrical', 'Electrical Construction', 'Electrical Technology', 'Electrical Wiring', 'Electrical technology', 'Electricity', 'Emergency Medical Services', 'Emergency Medical Technician', 'Emergency Services', 'Employability Skills', 'Employability Skills Program', 'Energy Systems Technology', 'Engineering & Architectural Design', 'Engineering Technologies', 'Engineering Technology', 'Engineering and Architectural Design', 'English', 'Explorations in Career & Technical Education', 'Exploratory', 'Exploratory Programs', 'Exploring Healthcare Professions', 'FIrefighting', 'Fashion Design', 'Fire Science', 'Firefighting', 'Food Service', 'Food Services', 'Food Travel and Tourism Management', 'Forest Resource Management', 'Forestry & Heavy Equipment Operations', 'Forestry & Wood Harvesting', 'Forestry/Natural Resources Program', 'Foundations of Tech', 'General Trades', 'Graphic Design', 'Graphic Design & Communications', 'Graphic Design and Printing', 'Green/Structural Technology', 'HVAC', 'Health Assistant-CNA', 'Health Careers Academy', 'Health Occupations', 'Health Occupations (Nursing)', 'Health Science CNA', 'Health Science Careers', 'Health and Medical Sciences', 'Heavy Equipment', 'Heavy Equipment Operation', 'Horticulture', 'Hospitality Tourism & Recreation Management', 'Hospitality/Travel & Tourism', 'Industrial & Farm Mechanics', 'Industrial Arts', 'Information Technology', 'Information Technology and Networking', 'Infromation Technology', 'Intro to Medical Professions Program', 'Introduction to Business', 'Introduction to Education', 'Introduction to Medical Sciences', 'JMG', 'Jobs for Maine Graduates', 'Landscaping & Horticulture', 'Large Equipment', 'Law Enforcement', 'Law Enforcement Academy', 'Law Enforcement Program', 'Law Enforcment', 'Legal Studies', 'Machine Tool', 'Machine Tool with Welding', 'Manufacturing Technology', 'Marine Service', 'Marine Technology', 'Marketing Management', 'Masonry', 'Mass Media Communications', 'Mathematics', 'Mechanical & Manufacturing Engineering/Robotics', 'Mechanical Systems Technician', 'Medical Administration Specialist', 'Medical Assisting', 'Medical Occupations', 'Medical Science', 'Metal Fab & Welding', 'Metal Fabrication', 'Metal Trades/Welding', 'Metals Manufacturing', 'Multimedia Design I & II', 'Multimedia Production', 'Multmedia Technology', 'Music', 'Natural Resources & Outdoor Recreation', 'New Media', 'Nursing Assistant', 'Outdoor Leadership', 'Outdoor Leadership & Skills', 'Outdoor Power Sports', 'Outdoor Skills', 'Plumbing', 'Plumbing & HVAC', 'Plumbing & Heating', 'Plumbing Technology', 'Plumbing and Heating', 'Police Operations', 'Pre Engineering', 'Pre-Apprenticeship', 'Pre-Engineering', 'Pre-Nursing', 'Pre-Nursing/CNA', 'Precision Machining', 'Precision Machining Technology', 'Precision Manufacturing', 'Principles of Marketing', 'Registered Medical Assitant', 'Residential Carpentry', 'Residential Construction', 'Residential Electrical Program', 'Sheet Metal & Welding', 'Small Engine & Diesel Technology', 'Small Engine Repair', 'Small Engines & Outdoor Power Equipment', 'Sophomore CTE Exploratory', 'Strive', 'Teaching and Early Education', 'Tech English', 'Technical Reading and Writing', 'Trade Works', 'Travel Tourism and Hospitality', 'Travel and Early Education', 'Truck Driving', 'Understanding Business', 'Video & Audio Production', 'Video Production', 'Welding', 'Welding & Metal Fabrication', 'Welding Technology', 'Welding and Metal Fabrication', 'Work Experience']"
Community College,"['ACLS & PALS Training', 'Accounting', 'Advanced Education Certificate', 'Advanced Emergency Medical Technician', 'Air Conditioning & Refrigeration Degree', 'Alcohol and Drug Counselor', 'Amazon Web Services Cloud Developer', 'Amazon Web Services Cloud Practitioner', 'Applied Electronics & Computer Technology', 'Apprenticeship', 'Aquaculture', 'Arboriculture', 'Architectural & Engineering Design Degree', 'Architectural and Civil Engineering Technology', 'Architecture and Engineering Design', 'Automotive Chassis Systems Certificate', 'Automotive Collision Repair', 'Automotive Powertrain Systems Certificate', 'Automotive Technology', 'Automotive Technology Degree', 'Behavioral Health Certificate', 'Behavioral Health Studies', 'Biological Science', 'Biotechnology Degree', 'Building Construction', 'Building Construction Technology', 'Business Administration', 'Business Administration and Management', 'Business Administration: Finance', 'Business Management', 'Business Transfer', 'Business Transfer-Sports Management Pathway', 'CDL-A', 'CNC Academy', 'CNC Machine Operator', 'Cardiovascular Technology', 'Career Studies', 'Coastal Fisheries & Marine Technology', 'Communications & New Media Studies Degree', 'Community & Medical Interpreting Courses', 'Community Mental Health', 'Community Paramedicine', 'Computer Aided Design Technician', 'Computer Numerical Control', 'Computer Science Degree', 'Computer Technology', 'Conservation Law Enforcement', 'Construction Institute', 'Construction Technology Certificate', 'Construction Technology Degree', 'Criminal Justice', 'Criminal Justice Degree', 'Criminal Justice: Conservation Law', 'Culinary Arts', 'Culinary Arts Degree', 'Cyber Security Degree', 'Cybersecurity-Digital Forensics', 'Dental Assistant', 'Dental Assisting', 'Diesel Hydraulics Technology', 'Diesel Turck and Heavy Equipment', 'Digital Arts and Design', 'Digital Graphic Design', 'Early Childhood Education', 'Early Childhood Education Bootcamp Training', 'Early Childhood Education Degree', 'Education', 'Education (K-12) Degree', 'Education - Career and Technical Education Option', 'Education-Elementary 7-12 option', 'Education-Elementary k-8 option', 'Educator Apprentice Program', 'Electric Vehicle Repair', 'Electrical Construction & Maintenance', 'Electrical Engineering Technologies Degree', 'Electrical Lineworker', 'Electrical Technology', 'Electrical and Automation Technology', 'Electrician Technology', 'Electrician Technology Certificate', 'Electricians Techonology', 'Electromechanical Instrumentation Technology', 'Electromechanical Technology', 'Emergency Medical Services', 'Emergency Medical Services/Paramedicine Degree', 'Emergency Medical Technician', 'Engine Specialist', 'Entrepreneurship', 'Esports Manager', 'Exercise Science', 'Expanded Function Dental Auxiliary', 'Facilities Maintenance and Management', 'Family Futures Downeast', 'Financial Planning', 'Fine Woodworking and Cabinet Making', 'Fire Science Degree', 'Fire Science Technology', 'Fire Science/Emergency Medical Technician Certificate', 'Forensic Science', 'Forensic Social Work', 'General Studies', 'Graphic Communications', 'Graphic Design', 'HVAC/R Technology', 'Health Information Management', 'Health Occupations', 'Health Science', 'Health Sciences Degree', 'Health Studies', 'Heating', 'Heating Certificate', 'Heating Technology', 'Heavy Equipment Maintenance', 'Heavy Equipment Operations', 'Horticulture Degree', 'Human Services', 'Human Services Degree', 'Information Technology', 'Information Technology Degree', 'Justice Studies', 'L. Joe Van Why School of Hospitality Degree', 'Leadership Certificate', 'Legal Studies Online Courses', 'Liberal Studies', 'Liberal Studies Degree: Arts Focus', 'Liberal Studies Degree: English Focus', 'Liberal Studies Degree: General', 'Liberal Studies Degree: History focus', 'Liberal Studies Degree: Math focus', 'Liberal Studies Degree: Music Focus', 'Liberal Studies Degree: Online Degree', 'Liberal Studies Degree: Political Science focus', 'Liberal Studies Degree: Psychology focus', 'Liberal Studies Degree: Science focus', 'Liberal Studies Degree: Social Work focus', 'Licensed Practical Nurse (LPN) Certificate', 'Life Sciences', 'Manufacturing Technician', 'Marine Design', 'Marine Design Certificate', 'Marine Science Degree', 'Mechanical Drafting and Design', 'Mechanical Technology', 'Mechanical Technology: Passenger Vehicle', 'Medical Assistant', 'Medical Assisting', 'Medical Assisting Apprenticeship', 'Medical Assisting Degree', 'Medical Coding', 'Medical Coding & Electronic Health Records', 'Medical Office Technology', 'Mental Health', 'Network Administration & Cybersecurity', 'Network Security Advance Certificate', 'Networked Systems Technology', 'New Cook Bootcamps', 'Nursing', 'Nursing Degree', 'Nutrition and Dietetics Degree', 'Occupational Therapy Assistant', 'Office Assistant', 'Oil Burner Technician', 'Outdoor Leadership: Adventure Recreation & Tourism', 'Outdoor Leadership: Adventure Therapy', 'Pharmacy Technician', 'Pharmacy Technician Online Training', 'Phlebotomist', 'Phlebotomy', 'Phlebotomy School', 'Physical Fitness Specialist', 'Physical Therapist Assistant', 'Plumbing', 'Plumbing & Heating Technology', 'Plumbing Certificate', 'Plumbing Technology', 'Plumbing and Heating', 'Plumbing and Heating Technology', 'Police Operations Advanced Certificate', 'Powersport Equipment/Small Engine Technician Production Technician', 'Practical Nursing', 'Pre-Engineering Degree', 'Precision Machining & Manufacturing Degree', 'Precision Machining Technology', 'Precision Manufacturing Training Package', 'Professional Education Online', 'Propane & Natural Gas Technician Training: Appliance Connection and Service', 'Property Management', 'Psychology', 'Radiography Degree', 'Radiologic Technology', 'Refrigeration & Air Conditioning Certificate', 'Remote Work Essentials for Professionals', 'Residential & Commercial Electricity', 'Respiratory Therapy', 'Respiratory Therapy Degree', 'Restaurant Management', 'ServSafe', 'Small Business Management', 'Social Sciences', 'Structural Welding', 'Substance Use and Recovery', 'Surgical Technology Degree', 'Sustainable Construction', 'Trade & Technical Occupations', 'Trade and Technical Occupations', 'Trade and Technology Occupations', 'Veterinary Assistant', 'Veterinary Technology', 'Water Treatment Technology', 'WelcomeME 2.0 Training', 'Welding', 'Welding Courses', 'Welding Technology', 'Wind Power Technology', 'Yamaha Outboard Motor Repair']"
University/Colleges,"['Accounting', 'Addiction Counseling', 'Africana', 'American Studies', 'Anthropology', 'Art & Visual Culture', 'Asian Studies', 'Biochemistry', 'Biology', 'Biomedical Science', 'Business', 'Business Administration', 'Cannabis Business Administration', 'Cannabis Business Operations', 'Cannabis Sciences', 'Chemistry', 'Chinese', 'Classical & Medieval Studies', 'Dance', 'Digital & Computational Studies', 'Earth and Climate Sciences', 'East Asian Studies', 'Economics', 'Educational Studies', 'Engineering', 'English', 'Environmental Studies', 'European Studies', 'Film', 'French & Francophone Studies', 'Gender and Sexuality Studies', 'German', 'Greek', 'Health Info Management', 'Health Info Technology', 'Healthcare Sciences', 'Hispanic Studies', 'History', 'Human Resources', 'Interdisciplinary Studies', 'Japanese', 'Latin', 'Latin American and Latinx Studies', 'Mathematics', 'Medical Admin Specialist', 'Medical Assistant', 'Medical Assisting', 'Medical Plant Science', 'Music', 'Neuroscience', 'Nursing BSN', 'Nursing RN', 'Philosophy', 'Physical Education', 'Physics', 'Politics', 'Psychology', 'Religious Studies', 'Rhetoric', 'Russian', 'Sociology', 'Teacher Education', 'Theater', 'Welding Technology', 'and Screen Studies']"
Graduate,[]
Company,[]
